id,char,level,element,readings_on,readings_kun,meanings,strokes,tags,world,order,example_sentence,example_reading
n5_upper_ue,上,N5,MAGIC,ジョウ,うえ|あ(げる),above|up,3,basic,2,1,__（うえ）,うえ
n5_lower_shita,下,N5,MAGIC,カ|ゲ,した|さ(げる),below|down,3,basic,2,1,__（した）,した
n5_big_ookii,大,N5,MAGIC,ダイ|タイ,おお(きい),big,3,basic,2,1,__（おお）きい,おお
n5_small_chiisai,小,N5,MAGIC,ショウ,ちい(さい)|こ,small,3,basic,2,2,__（ちい）さい,ちい
n5_evening_yuu,夕,N5,CHRONO,セキ,ゆう,evening,3,basic|time,2,2,__（ゆう）方,ゆう
n5_day_hi,日,N5,LIGHT,ニチ|ジツ,ひ|か,sun|day,4,basic|time,2,2,__（にち）曜日,にち
n5_month_tsuki,月,N5,LIGHT,ゲツ|ガツ,つき,moon|month,4,basic|time,2,2,__（げつ）曜日,げつ
n5_fire_hi,火,N5,FIRE,カ,ひ,fire,4,basic|nature,2,2,__（か）曜日,か
n5_water_mizu,水,N5,AQUA,スイ,みず,water,4,basic|nature,2,3,__（すい）曜日,すい
n5_tree_ki,木,N5,NATURE,モク|ボク,き,tree|wood,4,basic|nature,2,3,__（もく）曜日,もく
n5_father_chichi,父,N5,LIFE,フ,ちち,father,4,basic,2,3,お__（とう）さん,とう
n5_circle_marui,円,N5,METAL,エン,まる(い),yen|circle,4,basic|wealth,2,3,百__（えん）,えん
n5_book_hon,本,N5,MAGIC,ホン,もと,book|origin,5,basic,2,3,__（ほん）,ほん
n5_middle_naka,中,N5,MAGIC,チュウ,なか,middle|inside,4,basic,3,1,__（なか）,なか
n5_five_itsutsu,五,N5,MAGIC,ゴ,いつ(つ),five,4,basic,3,1,__（ご）月,ご
n5_six_mutsu,六,N5,MAGIC,ロク,む(つ),six,4,basic,3,1,__（ろく）月,ろく
n5_minute_fun,分,N5,CHRONO,ブン|フン,わ(ける),minute|part,4,basic|time,3,1,五__（ふん）,ふん
n5_noon_go,午,N5,CHRONO,ゴ,-,noon,4,basic|time,3,1,__（ご）前,ご
n5_now_ima,今,N5,CHRONO,コン,いま,now,4,basic|time,3,2,__（いま）,いま
n5_heavens_ten,天,N5,MAGIC,テン,あめ|あま,heaven,4,basic,3,2,__（てん）気,てん
n5_friend_tomo,友,N5,LIFE,ユウ,とも,friend,4,basic,3,2,__（とも）だち,とも
n5_life_ikiru,生,N5,LIFE,セイ|ショウ,い(きる)|う(む),life|birth,5,basic,3,2,先__（せい）,せい
n5_mother_haha,母,N5,LIFE,ボ,はは,mother,5,basic,3,2,お__（かあ）さん,かあ
n5_four_yotsu,四,N5,MAGIC,シ,よ(つ)|よん,four,5,basic,3,3,__（し）月,し
n5_left_hidari,左,N5,MAGIC,サ,ひだり,left,5,basic,3,3,__（ひだり）,ひだり
n5_right_migi,右,N5,MAGIC,ウ|ユウ,みぎ,right,5,basic,3,3,__（みぎ）,みぎ
n5_north_kita,北,N5,MAGIC,ホク,きた,north,5,basic,3,3,__（きた）,きた
n5_half_han,半,N5,MAGIC,ハン,なか(ば),half,5,basic,3,3,__（はん）分,はん
n5_eye_me,目,N5,LIFE,モク,め,eye,5,basic,4,1,__（め）,め
n5_outside_soto,外,N5,MAGIC,ガイ,そと,outside,5,basic,4,1,__（そと）,そと
n5_exit_deru,出,N5,MAGIC,シュツ,で(る),exit,5,basic,4,1,__（で）る,で
n5_white_shiro,白,N5,LIGHT,ハク,しろ,white,5,basic|time,4,1,__（しろ）い,しろ
n5_year_toshi,年,N5,CHRONO,ネン,とし,year,6,basic|time,4,1,来__（ねん）,ねん
n5_hundred_hyaku,百,N5,MAGIC,ヒャク,もも,hundred,6,basic,4,2,__（ひゃく）,ひゃく
n5_rest_yasumu,休,N5,MAGIC,キュウ,やす(む),rest,6,basic,4,2,__（やす）み,やす
n5_previous_saki,先,N5,CHRONO,セン,さき,previous|ahead,6,basic|time,4,2,__（せん）生,せん
n5_name_na,名,N5,MAGIC,メイ|ミョウ,な,name,6,basic,4,2,__（な）前,な
n5_spirit_ki,気,N5,MAGIC,キ,-,spirit|air,6,basic,4,2,__（き）分,き
n5_insect_mushi,虫,N5,LIFE,チュウ,むし,insect,6,basic,4,3,__（むし）,むし
n5_see_miru,見,N5,MAGIC,ケン,み(る),see,7,basic,4,3,__（み）る,み
n5_car_kuruma,車,N5,MAGIC,シャ,くるま,car,7,basic,4,3,__（くるま）,くるま
n5_every_mai,毎,N5,CHRONO,マイ,-,every,7,basic|time,4,3,__（まい）日,まい
n5_body_karada,体,N5,LIFE,タイ,からだ,body,7,basic,4,3,__（からだ）,からだ
n5_what_nani,何,N5,MAGIC,カ,なに,what,7,basic,5,1,__（なに）,なに
n5_come_kuru,来,N5,MAGIC,ライ,く(る),come,7,basic,5,1,__（く）る,く
n5_go_iku,行,N5,MAGIC,コウ|ギョウ,い(く),go,6,basic,5,1,__（い）く,い
n5_west_nishi,西,N5,MAGIC,セイ,にし,west,6,basic,5,1,__（にし）,にし
n5_gold_kin,金,N5,METAL,キン|コン,かね,gold|money,8,basic|wealth,5,1,__（きん）曜日,きん
n5_rain_ame,雨,N5,AQUA,ウ,あめ,rain,8,basic|nature,5,2,__（あめ）,あめ
n5_learn_manabu,学,N5,MAGIC,ガク,まな(ぶ),study|learn,8,education,5,2,__（がく）生,がく
n5_country_kuni,国,N5,MAGIC,コク,くに,country,8,basic,5,2,外__（こく）,こく
n5_east_higashi,東,N5,MAGIC,トウ,ひがし,east,8,basic,5,2,__（ひがし）,ひがし
n5_long_nagai,長,N5,MAGIC,チョウ,なが(い),long,8,basic,5,2,__（なが）い,なが
n5_eat_taberu,食,N5,LIFE,ショク,た(べる),eat,9,basic,5,3,__（た）べる,た
n5_south_minami,南,N5,MAGIC,ナン,みなみ,south,9,basic,5,3,__（みなみ）,みなみ
n5_before_mae,前,N5,CHRONO,ゼン,まえ,before,9,basic|time,5,3,__（まえ）,まえ
n5_after_ato,後,N5,CHRONO,ゴ|コウ,あと|うし(ろ),after,9,basic|time,5,3,__（あと）,あと
n5_time_toki,時,N5,CHRONO,ジ,とき,time,10,basic|time,5,3,__（じ）間,じ
n5_high_takai,高,N5,MAGIC,コウ,たか(い),high,10,basic,6,1,__（たか）い,たか
n5_school_kou,校,N5,MAGIC,コウ,-,school,10,education,6,1,学__（こう）,こう
n5_write_kaku,書,N5,MAGIC,ショ,か(く),write,10,basic,6,1,__（か）く,か
n5_talk_hanasu,話,N5,MAGIC,ワ,はな(す),talk,13,basic,6,1,__（はな）す,はな
n5_electricity_den,電,N5,LIGHT,デン,-,electricity,13,basic|time,6,1,__（でん）気,でん
n5_read_yomu,読,N5,MAGIC,ドク,よ(む),read,14,basic,6,2,__（よ）む,よ
n5_hear_kiku,聞,N5,LIFE,ブン|モン,き(く),hear,14,basic,6,2,__（き）く,き
n5_language_go,語,N5,MAGIC,ゴ,かた(る),language,14,basic,6,2,日本__（ご）,ご
n5_between_aida,間,N5,CHRONO,カン|ケン,あいだ|ま,interval|space,12,basic|time,6,2,時__（かん）,かん
n5_man_otoko,男,N5,LIFE,ダン|ナン,おとこ,man,7,basic,6,2,__（おとこ）,おとこ
n4_stop_tomaru,止,N4,MAGIC,シ,と(まる),stop,4,basic,1,1,,
n4_public_ooyake,公,N4,MAGIC,コウ,おおやけ,public,4,basic,1,1,,
n4_cut_kiru,切,N4,MAGIC,セツ,き(る),cut,4,basic,1,1,,
n4_not_fu,不,N4,MAGIC,フ,-,not,4,basic,1,1,,
n4_origin_moto,元,N4,MAGIC,ゲン|ガン,もと,origin,4,basic,1,1,,
n4_hand_te,手,N4,LIFE,シュ,て,hand,4,basic,1,2,,
n4_dog_inu,犬,N4,LIFE,ケン,いぬ,dog,4,basic,1,2,,
n4_cow_ushi,牛,N4,LIFE,ギュウ,うし,cow,4,basic,1,2,,
n4_heart_kokoro,心,N4,LIFE,シン,こころ,heart,4,basic,1,2,,
n4_use_mochiiru,用,N4,MAGIC,ヨウ,もち(いる),use,5,basic,1,2,,
n4_generation_dai,代,N4,MAGIC,ダイ,か(わり),generation,5,basic,1,3,,
n4_copy_utsusu,写,N4,MAGIC,シャ,うつ(す),copy,5,basic,1,3,,
n4_world_yo,世,N4,CHRONO,セイ,よ,world|generation,5,basic|time,1,3,,
n4_master_nushi,主,N4,MAGIC,シュ,ぬし,master,5,basic,1,3,,
n4_correct_tadashii,正,N4,MAGIC,セイ,ただ(しい),correct,5,basic,1,3,,
n4_winter_fuyu,冬,N4,CHRONO,トウ,ふゆ,winter,5,basic|time,2,1,,
n4_stand_tatsu,立,N4,MAGIC,リツ,た(つ),stand,5,basic,2,1,,
n4_go_out_deru,出,N4,MAGIC,シュツ,で(る),go out|put out,5,basic,2,1,,
n4_stone_ishi,石,N4,METAL,セキ,いし,stone,5,basic|wealth,2,1,,
n4_rice_field_ta,田,N4,NATURE,デン,た,rice field,5,basic|nature,2,1,,
n4_eye_me,目,N4,LIFE,モク,め,eye,5,basic,2,2,,
n4_brother_ani,兄,N4,LIFE,ケイ,あに,older brother,5,basic,2,2,,
n4_finish_shimau,仕,N4,MAGIC,シ|ジ,つか(える),attend|doing,5,basic,2,2,,
n4_market_ichi,市,N4,MAGIC,シ,いち,market|city,5,basic,2,2,,
n4_leave_saru,去,N4,MAGIC,キョ|コ,さ(る),gone|past,5,basic,2,2,,
n4_meet_au,会,N4,MAGIC,カイ,あ(う),meet,6,basic,2,3,,
n4_same_onaji,同,N4,MAGIC,ドウ,おな(じ),same,6,basic,2,3,,
n4_self_ji,自,N4,MAGIC,ジ|シ,みずか(ら),self,6,basic,2,3,,
n4_ground_chi,地,N4,METAL,チ|ジ,-,ground,6,basic|wealth,2,3,,
n4_color_iro,色,N4,LIGHT,ショク,いろ,color,6,basic|time,2,3,,
n4_examine_kou,考,N4,MAGIC,コウ,かんが(える),think,6,basic,3,1,,
n4_many_ooi,多,N4,MAGIC,タ,おお(い),many,6,basic,3,1,,
n4_have_aru,有,N4,MAGIC,ユウ,あ(る),have,6,basic,3,1,,
n4_dead_shinu,死,N4,LIFE,シ,し(ぬ),death,6,basic,3,1,,
n4_easy_yasui,安,N4,MAGIC,アン,やす(い),relax|cheap,6,basic,3,2,,
n4_early_hayai,早,N4,CHRONO,ソウ,はや(い),early,6,basic|time,3,2,,
n4_character_ji,字,N4,MAGIC,ジ,あざ,character,6,basic,3,2,,
n4_rest_yasumu,休,N4,MAGIC,キュウ,やす(む),rest,6,basic,3,2,,
n4_near_chikai,近,N4,MAGIC,キン,ちか(い),near,7,basic,3,2,,
n4_say_iu,言,N4,MAGIC,ゲン,い(う),say,7,basic,3,3,,
n4_make_tsukuru,作,N4,MAGIC,サク,つく(る),make,7,basic,3,3,,
n4_diagram_zu,図,N4,MAGIC,ズ|ト,はか(る),diagram,7,basic,3,3,,
n4_doctor_i,医,N4,LIFE,イ,-,doctor,7,basic,3,3,,
n4_sound_oto,音,N4,MAGIC,オン,おと,sound,9,basic,4,1,,
n4_hold_motsu,持,N4,MAGIC,ジ,も(つ),hold,9,basic,4,1,,
n4_build_ken,建,N4,MAGIC,ケン,た(てる),build,9,basic,4,1,,
n4_research_ken,研,N4,MAGIC,ケン,と(ぐ),sharpen,9,basic,4,1,,
n4_society_sha,社,N4,MAGIC,シャ,やしろ,company|society,7,basic,4,1,,
n4_private_watashi,私,N4,MAGIC,シ,わたし,private|I,7,basic,4,2,,
n4_town_machi,町,N4,MAGIC,チョウ,まち,town,7,basic,4,2,,
n4_distinct_betsu,別,N4,MAGIC,ベツ,わか(れる),separate,7,basic,4,2,,
n4_village_mura,村,N4,MAGIC,ソン,むら,village,7,basic,4,3,,
n4_red_aka,赤,N4,LIGHT,セキ,あか,red,7,basic|time,4,3,,
n4_run_hashiru,走,N4,MAGIC,ソウ,はし(る),run,7,basic,4,3,,
n4_foot_ashi,足,N4,LIFE,ソク,あし,foot|leg,7,basic,4,3,,
n4_flower_hana,花,N4,NATURE,カ,はな,flower,7,basic|nature,4,3,,
n4_sell_uru,売,N4,MAGIC,バイ,う(る),sell,7,basic,5,1,,
n4_bureau_kyoku,局,N4,MAGIC,キョク,-,bureau,7,basic,5,1,,
n4_matter_koto,事,N4,MAGIC,ジ,こと,matter,8,basic,5,2,,
n4_person_mono,者,N4,LIFE,シャ,もの,person,8,basic,5,2,,
n4_know_shiru,知,N4,MAGIC,チ,し(る),know,8,basic,5,2,,
n4_bright_akarui,明,N4,LIGHT,メイ,あか(るい),bright,8,basic|time,5,2,,
n4_thing_mono,物,N4,MAGIC,ブツ|モツ,もの,thing,8,basic,5,2,,
n4_use_tsukau,使,N4,MAGIC,シ,つか(う),use,8,basic,5,3,,
n4_picture_kaku,画,N4,MAGIC,ガ|カク,-,brush-stroke|picture,8,basic,5,3,,
n4_capital_kyou,京,N4,MAGIC,キョウ,みやこ,capital,8,basic,5,3,,
n4_night_yoru,夜,N4,CHRONO,ヤ,よる,night,8,basic|time,5,3,,
n4_sky_sora,空,N4,MAGIC,クウ,そら,sky|empty,8,basic,5,3,,
n4_walk_aruku,歩,N4,MAGIC,ホ,ある(く),walk,8,basic,6,1,,
n4_store_mise,店,N4,MAGIC,テン,みせ,shop,8,basic,6,1,,
n4_father_chichi,父,N4,LIFE,フ,ちち,father,8,basic,6,1,,
n4_long_nagai,長,N4,MAGIC,チョウ,なが(い),long,8,basic,6,1,,
n4_come_kuru,来,N4,MAGIC,ライ,く(る),come,8,basic,6,1,,
n4_gold_kin,金,N4,METAL,キン|コン,かね,gold|money,8,basic|wealth,6,2,,
n4_rain_ame,雨,N4,AQUA,ウ,あめ,rain,8,basic|nature,6,2,,
n4_open_hiraku,開,N4,MAGIC,カイ,ひら(く),open,12,basic,6,2,,
n4_wait_matsu,待,N4,MAGIC,タイ,ま(つ),wait,9,basic,6,2,,
n4_plan_hakaru,計,N4,MAGIC,ケイ,はか(る),plot|plan,9,basic,6,2,,
n4_institution_in,院,N4,MAGIC,イン,-,institution,10,basic,6,3,,
n4_send_okuru,送,N4,MAGIC,ソウ,おく(る),send,9,basic,6,3,,
n4_tribe_zoku,族,N4,MAGIC,ゾク,-,tribe|family,11,basic,6,3,,
n4_reflect_e,映,N4,LIGHT,エイ,うつ(る),reflect,9,basic|time,6,3,,
n4_sickness_yamai,病,N4,LIFE,ビョウ,やまい,ill|sick,10,basic,6,3,,
n4_quality_shitsu,質,N4,MAGIC,シツ|シチ,-,substance|quality,15,basic,7,1,,
n4_room_shitsu,室,N4,MAGIC,シツ,むろ,room,9,basic,7,1,,
n4_wind_kaze,風,N4,MAGIC,フウ,かぜ,wind,9,basic,7,1,,
n4_transport_hakobu,運,N4,MAGIC,ウン,はこ(ぶ),carry|luck,12,basic,7,1,,
n4_fee_ryou,料,N4,MAGIC,リョウ,-,fee|materials,10,basic,7,1,,
n4_music_tanoshii,楽,N4,MAGIC,ガク,たの(しい),music|comfort,13,basic,7,2,,
n4_return_kaeru,帰,N4,MAGIC,キ,かえ(る),return,10,basic,7,2,,
n4_bad_warui,悪,N4,MAGIC,アク,わる(い),bad,11,basic,7,2,,
n4_broad_hiroi,広,N4,MAGIC,コウ,ひろ(い),wide,5,basic,7,2,,
n4_dwell_sumu,住,N4,MAGIC,ジュウ,す(む),dwell,7,basic,7,2,,
n4_ancient_furui,古,N4,CHRONO,コ,ふる(い),old,5,basic|time,7,3,,
n4_commence_hajimeru,始,N4,CHRONO,シ,はじ(める),commence,8,basic|time,7,3,,
n4_end_owaru,終,N4,CHRONO,シュウ,お(わる),end,11,basic|time,7,3,,
n4_pedestal_dai,台,N4,MAGIC,ダイ|タイ,-,pedestal,5,basic,7,3,,
n4_can_beki,可,N4,MAGIC,カ,-,can|passable,5,basic,7,3,,
n4_turn_korobu,転,N4,MAGIC,テン,ころ(ぶ),revolve,11,basic,8,1,,
n4_craft_kou,工,N4,MAGIC,コウ,-,craft,3,basic,8,1,,
n4_hurry_isogu,急,N4,MAGIC,キュウ,いそ(ぐ),hurry,9,basic,8,1,,
n4_black_kuro,黒,N4,LIGHT,コク,くろ,black,11,basic|time,8,1,,
n4_english_ei,英,N4,MAGIC,エイ,-,english,8,basic,8,1,,
n4_blue_ao,青,N4,LIGHT,セイ,あお,blue,8,basic|time,8,2,,
n4_answer_tou,答,N4,MAGIC,トウ,こた(える),answer,12,basic,8,2,,
n4_paper_kami,紙,N4,NATURE,シ,かみ,paper,10,basic|nature,8,2,,
n4_song_uta,歌,N4,MAGIC,カ,うた,song,14,basic,8,2,,
n4_pour_sosogu,注,N4,MAGIC,チュウ,そそ(ぐ),pour,8,basic,8,2,,
n4_spring_haru,春,N4,CHRONO,シュン,はる,spring,9,basic|time,8,3,,
n4_building_kan,館,N4,MAGIC,カン,-,building,16,basic,8,3,,
n4_travel_tabi,旅,N4,MAGIC,リョ,たび,travel,10,basic,8,3,,
n4_verification_ken,験,N4,MAGIC,ケン,-,verification,18,basic,8,3,,
n4_research_ken,研,N4,MAGIC,ケン,と(ぐ),sharpen,9,basic,8,3,,
n4_drink_nomu,飲,N4,AQUA,イン,の(む),drink,12,basic|nature,9,1,,
n4_meat_niku,肉,N4,LIFE,ニク,-,meat,6,basic,9,1,,
n4_clothing_fuku,服,N4,MAGIC,フク,-,clothing,8,basic,9,1,,
n4_silver_gin,銀,N4,METAL,ギン,-,silver,14,basic|wealth,9,1,,
n4_tea_cha,茶,N4,AQUA,チャ|サ,-,tea,9,basic|nature,9,1,,
n4_research_kyuu,究,N4,MAGIC,キュウ,きわ(める),research,7,basic,9,2,,
n4_ocean_you,洋,N4,AQUA,ヨウ,-,ocean,9,basic|nature,9,2,,
n4_autumn_aki,秋,N4,CHRONO,シュウ,あき,autumn,9,basic|time,9,2,,
n4_hall_dou,堂,N4,MAGIC,ドウ,-,public chamber,11,basic,9,2,,
n4_week_shuu,週,N4,CHRONO,シュウ,-,week,11,basic|time,9,2,,
n4_learn_narau,習,N4,MAGIC,シュウ,なら(う),learn,11,education,9,3,,
n4_test_tamesu,試,N4,MAGIC,シ,ため(す),test,13,basic,9,3,,
n4_summer_natsu,夏,N4,CHRONO,カ,なつ,summer,10,basic|time,9,3,,
n4_younger_brother_otouto,弟,N4,LIFE,ダイ|テイ,おとうと,younger brother,7,basic,9,3,,
n4_bird_tori,鳥,N4,LIFE,チョウ,とり,bird,11,basic,9,3,,
n4_evening_yuu,夕,N4,CHRONO,セキ,ゆう,evening,3,basic|time,10,1,,
n4_fish_sakana,魚,N4,AQUA,ギョ,さかな,fish,11,basic|nature,10,1,,
n4_borrow_kariru,借,N4,MAGIC,シャク,か(りる),borrow,10,basic,10,1,,
n4_meal_meshi,飯,N4,LIFE,ハン,めし,meal,12,basic,10,1,,
n4_station_eki,駅,N4,MAGIC,エキ,-,station,14,basic,10,1,,
n4_daytime_hiru,昼,N4,CHRONO,チュウ,ひる,daytime,9,basic|time,10,2,,
n4_older_sister_ane,姉,N4,LIFE,シ,あね,older sister,8,basic,10,2,,
n4_weekday_you,曜,N4,CHRONO,ヨウ,-,weekday,18,basic|time,10,2,,
n4_sino_kan,漢,N4,MAGIC,カン,-,sino-,13,basic,10,2,,
n4_younger_sister_imouto,妹,N4,LIFE,マイ,いもうと,younger sister,8,basic,10,2,,
n4_lend_kasu,貸,N4,MAGIC,タイ,か(す),lend,12,basic,10,3,,
n4_exertion_ben,勉,N4,MAGIC,ベン,-,exertion,10,education,10,3,,
n4_target_teki,的,N4,MAGIC,テキ,まと,bullseye,8,basic,10,3,,
n4_location_ba,場,N4,MAGIC,ジョウ,ば,location,12,basic,10,3,,
n4_body_karada,体,N4,LIFE,タイ,からだ,body,7,basic,10,3,,
n4_move_ugoku,動,N4,MAGIC,ドウ,うご(く),move,11,basic,11,1,,
n4_logic_ri,理,N4,MAGIC,リ,-,logic,11,basic,11,1,,
n4_departure_hatsu,発,N4,MAGIC,ハツ,-,departure,9,basic,11,1,,
n4_new_atarashii,新,N4,CHRONO,シン,あたら(しい),new,13,basic|time,11,1,,
n4_degrees_do,度,N4,MAGIC,ド,たび,degrees,9,basic,11,1,,
n4_power_chikara,力,N4,MAGIC,リョク|リキ,ちから,power,2,basic,11,2,,
n4_idea_i,意,N4,MAGIC,イ,-,idea,13,basic,11,2,,
n4_traffic_tsuu,通,N4,MAGIC,ツウ,とお(る),traffic,10,basic,11,2,,
n4_sentence_bun,文,N4,MAGIC,ブン|モン,ふみ,sentence,4,basic,11,2,,
n4_roof_ya,屋,N4,MAGIC,オク,や,roof,9,basic,11,2,,
n4_business_waza,業,N4,MAGIC,ギョウ,わざ,business,13,basic,11,3,,
n4_road_michi,道,N4,MAGIC,ドウ,みち,road|way,12,basic,11,3,,
n4_somebody_mi,身,N4,LIFE,シン,み,somebody,7,basic,11,3,,
n4_mouth_kuchi,口,N4,LIFE,コウ|ク,くち,mouth,3,basic,11,3,,
n4_plains_no,野,N4,NATURE,ヤ,の,plains,11,basic|nature,11,3,,
n4_teach_oshieru,教,N4,MAGIC,キョウ,おし(える),teach,11,education,12,1,,
n4_by_means_of_i,以,N4,MAGIC,イ,-,by means of,5,basic,12,1,,
n4_question_tou,問,N4,MAGIC,モン,と(う),question,11,basic,12,1,,
n4_true_shin,真,N4,MAGIC,シン,ま,true,10,basic,12,1,,
n4_flavor_aji,味,N4,MAGIC,ミ,あじ,flavor,8,basic,12,1,,
n4_world_kai,界,N4,MAGIC,カイ,-,world,9,basic,12,2,,
n4_nothingness_mu,無,N4,MAGIC,ム,な(い),nothingness,12,basic,12,2,,
n4_few_sukunai,少,N4,MAGIC,ショウ,すく(ない),few,4,basic,12,2,,
n4_sea_umi,海,N4,AQUA,カイ,うみ,sea,9,basic|nature,12,2,,
n4_heavy_omoi,重,N4,MAGIC,ジュウ,おも(い),heavy,9,basic,12,2,,
n4_gather_atsumaru,集,N4,MAGIC,シュウ,あつ(まる),gather,12,basic,12,3,,
n4_employee_in,員,N4,MAGIC,イン,-,employee,10,basic,12,3,,
n4_peace_yasui,安,N4,MAGIC,アン,やす(い),relax|cheap,6,basic,12,3,,
n4_parent_oya,親,N4,LIFE,シン,おや,parent,16,basic,12,3,,
n4_strong_tsuyoi,強,N4,MAGIC,キョウ,つよ(い),strong,11,basic,12,3,,
n4_morning_asa,朝,N4,CHRONO,チョウ,あさ,morning,12,basic|time,13,1,,
n4_topic_dai,題,N4,MAGIC,ダイ,-,topic,18,basic,13,1,,
n4_goods_shina,品,N4,MAGIC,ヒン,しな,goods,9,basic,13,1,,
n4_don_kiru,着,N4,MAGIC,チャク,き(る),don,12,basic,13,1,,
n4_origin_moto,元,N4,MAGIC,ゲン|ガン,もと,origin,4,basic,13,1,,
n4_special_toku,特,N4,MAGIC,トク,-,special,10,basic,13,2,,
n4_buy_kau,買,N4,MAGIC,バイ,か(う),buy,12,basic,13,2,,
n4_family_zoku,族,N4,MAGIC,ゾク,-,tribe|family,11,basic,13,2,,
n3_fit_au,合,N3,MAGIC,ゴウ,あ(う),fit,6,basic,-14,1,,
n3_section_bu,部,N3,MAGIC,ブ,-,section,11,basic,-14,1,,
n3_he_kare,彼,N3,LIFE,ヒ,かれ,he,8,basic,-14,2,,
n3_inside_uchi,内,N3,MAGIC,ナイ,うち,inside,4,basic,-14,2,,
n3_reality_mi,実,N3,NATURE,ジツ,み,reality|fruit,8,basic|nature,-14,2,,
n3_hit_ataru,当,N3,MAGIC,トウ,あ(たる),hit,6,basic,-14,2,,
n3_war_tatakau,戦,N3,MAGIC,セン,たたか(う),war,13,basic,-14,2,,
n3_sex_sei,性,N3,MAGIC,セイ,-,sex|nature,8,basic,-14,3,,
n3_vis_a_vis_tai,対,N3,MAGIC,タイ,-,vis-a-vis,7,basic,-14,3,,
n3_connection_seki,関,N3,MAGIC,カン,せき,connection,14,basic,-14,3,,
n3_emotion_kan,感,N3,MAGIC,カン,-,emotion,13,basic,-14,3,,
n3_determine_sadameru,定,N3,MAGIC,テイ,さだ(める),determine,8,basic,-14,3,,
n3_politics_matsurigoto,政,N3,MAGIC,セイ,まつりごと,politics,9,basic,-13,1,,
n3_take_toru,取,N3,MAGIC,シュ,と(る),take,8,basic,-13,1,,
n3_place_tokoro,所,N3,MAGIC,ショ,ところ,place,8,basic,-13,1,,
n3_present_arawareru,現,N3,MAGIC,ゲン,あらわ(れる),present,11,basic,-13,1,,
n3_utmost_motto,最,N3,MAGIC,サイ,もっと(も),utmost,12,basic,-13,1,,
n3_change_bakeru,化,N3,MAGIC,カ,ば(ける),change,4,basic,-13,2,,
n3_people_tami,民,N3,LIFE,ミン,たみ,people,5,basic,-13,2,,
n3_inter_ai,相,N3,MAGIC,ソウ,あい,inter-,9,basic,-13,2,,
n3_method_hou,法,N3,MAGIC,ホウ,-,method,8,basic,-13,2,,
n3_whole_subete,全,N3,MAGIC,ゼン,すべ(て),whole,6,basic,-13,2,,
n3_feelings_nasake,情,N3,MAGIC,ジョウ,なさ(け),feelings,11,basic,-13,3,,
n3_yonder_muku,向,N3,LIFE,コウ,む(く),yonder,6,basic,-13,3,,
n3_even_taira,平,N3,MAGIC,ヘイ,たい(ら),even,5,basic,-13,3,,
n3_turn_into_naru,成,N3,MAGIC,セイ,な(る),turn into,6,basic,-13,3,,
n3_sutra_kei,経,N3,MAGIC,ケイ,へ(る),sutra,11,basic,-13,3,,
n3_faith_shin,信,N3,MAGIC,シン,-,faith,9,basic,-12,1,,
n3_mask_omo,面,N3,LIFE,メン,おも,mask|face,9,basic,-12,1,,
n3_take_along_tsuranaru,連,N3,MAGIC,レン,つら(なる),take along,10,basic,-12,1,,
n3_original_hara,原,N3,MAGIC,ゲン,はら,original,10,basic,-12,1,,
n3_face_kao,顔,N3,LIFE,ガン,かお,face,18,basic,-12,1,,
n3_loom_hata,機,N3,MAGIC,キ,はた,loom,16,basic,-12,2,,
